"Step","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MIN","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MAX"
"679","312124.87663942407","312124.87663942407","312124.87663942407"
"681","306086.71869036613","306086.71869036613","306086.71869036613"
"683","309884.0947185316","309884.0947185316","309884.0947185316"
"685","307503.4469892438","307503.4469892438","307503.4469892438"
"687","307436.59857283364","307436.59857283364","307436.59857283364"
"689","304646.418951198","304646.418951198","304646.418951198"
"691","322595.4042005803","322595.4042005803","322595.4042005803"
"693","303498.85962338746","303498.85962338746","303498.85962338746"
"695","311904.87823842524","311904.87823842524","311904.87823842524"
"697","311374.0885063767","311374.0885063767","311374.0885063767"
"699","305089.83567627706","305089.83567627706","305089.83567627706"
"701","312563.0478511434","312563.0478511434","312563.0478511434"
"703","315169.20537368034","315169.20537368034","315169.20537368034"
"705","310562.008026859","310562.008026859","310562.008026859"
"707","309400.5264332416","309400.5264332416","309400.5264332416"
"709","310061.5437553089","310061.5437553089","310061.5437553089"
"711","307527.1413812406","307527.1413812406","307527.1413812406"
"713","315050.20000815","315050.20000815","315050.20000815"
"715","316684.3559328353","316684.3559328353","316684.3559328353"
"717","306382.9839536999","306382.9839536999","306382.9839536999"
"719","304274.6562042393","304274.6562042393","304274.6562042393"
"721","304892.9248012","304892.9248012","304892.9248012"
"723","299939.251519612","299939.251519612","299939.251519612"
"725","314197.6236909581","314197.6236909581","314197.6236909581"
"727","307624.4739382454","307624.4739382454","307624.4739382454"
"729","319495.2148858006","319495.2148858006","319495.2148858006"
"731","304279.04440873937","304279.04440873937","304279.04440873937"
"733","301229.7526235098","301229.7526235098","301229.7526235098"
"735","308889.19849620905","308889.19849620905","308889.19849620905"
"737","313032.770878554","313032.770878554","313032.770878554"
"739","317155.87501179514","317155.87501179514","317155.87501179514"
"741","311265.74799925386","311265.74799925386","311265.74799925386"
"743","311105.5291005829","311105.5291005829","311105.5291005829"
"745","312114.74868561386","312114.74868561386","312114.74868561386"
"747","303163.0405547086","303163.0405547086","303163.0405547086"
"749","302911.7130114951","302911.7130114951","302911.7130114951"
"751","310995.5236947612","310995.5236947612","310995.5236947612"
"753","316562.8688796655","316562.8688796655","316562.8688796655"
"755","313012.61320843967","313012.61320843967","313012.61320843967"
"757","315344.3334738792","315344.3334738792","315344.3334738792"
"759","314552.9799625138","314552.9799625138","314552.9799625138"
"761","311849.26670436905","311849.26670436905","311849.26670436905"
"763","306517.39539741864","306517.39539741864","306517.39539741864"
"765","317506.9920598237","317506.9920598237","317506.9920598237"
"767","302563.6432676555","302563.6432676555","302563.6432676555"
"769","307587.38628993917","307587.38628993917","307587.38628993917"
"771","306423.90736952","306423.90736952","306423.90736952"
"773","306127.5799634189","306127.5799634189","306127.5799634189"
"775","308430.41419605614","308430.41419605614","308430.41419605614"
"777","303745.8385310074","303745.8385310074","303745.8385310074"
"779","314794.94368919136","314794.94368919136","314794.94368919136"
"781","305775.1318594874","305775.1318594874","305775.1318594874"
"783","306890.1044950782","306890.1044950782","306890.1044950782"
"785","307425.13843569416","307425.13843569416","307425.13843569416"
"787","303536.81764181715","303536.81764181715","303536.81764181715"
"789","304329.6646295998","304329.6646295998","304329.6646295998"
"791","310904.6585966199","310904.6585966199","310904.6585966199"
"793","310712.75415904255","310712.75415904255","310712.75415904255"
"795","307446.4462602282","307446.4462602282","307446.4462602282"
"797","309615.0195450049","309615.0195450049","309615.0195450049"
"799","308316.9783420801","308316.9783420801","308316.9783420801"
"801","311167.404683782","311167.404683782","311167.404683782"
"803","312272.29621883604","312272.29621883604","312272.29621883604"
"805","301299.948867345","301299.948867345","301299.948867345"
"807","307379.82001551293","307379.82001551293","307379.82001551293"
"809","306047.11413306807","306047.11413306807","306047.11413306807"
"811","307733.8486696184","307733.8486696184","307733.8486696184"
"813","309023.16524939565","309023.16524939565","309023.16524939565"
"815","312796.2269000087","312796.2269000087","312796.2269000087"
"817","310285.7799241803","310285.7799241803","310285.7799241803"
"819","310245.21371398366","310245.21371398366","310245.21371398366"
